language_type,sample_count,baseline_macro_cer,prompt_macro_cer,absolute_cer_change,relative_improvement_rate,improved_case_count
國語,8,0.032366071428571425,0.032366071428571425,0.0,0.0,0
台語,7,0.7496839761545644,0.7615887380593264,0.011904761904761973,-0.015879707027788383,0
國台混合,6,0.3876662030182019,0.38407666651710265,-0.0035895365010992775,0.009259348566247699,1
中英混合,4,0.07395644283121597,0.07395644283121597,0.0,0.0,0
客語（四縣）,4,0.6608391608391608,0.6416083916083916,-0.019230769230769273,0.029100529100529165,2
