language_type,sample_count,selected_source,baseline_macro_cer,hybrid_v3_macro_cer,absolute_cer_change,relative_improvement_rate
國語,8,baseline,0.032366071428571425,0.032366071428571425,0.0,0.0
台語,7,baseline,0.7496839761545644,0.7496839761545644,0.0,0.0
國台混合,6,prompt_v2,0.3876662030182019,0.38407666651710265,-0.0035895365010992775,0.009259348566247699
中英混合,4,baseline,0.07395644283121597,0.07395644283121597,0.0,0.0
客語（四縣）,4,prompt_v2,0.6608391608391608,0.6416083916083916,-0.019230769230769273,0.029100529100529165
